[01:08:38] [info] TESSERACT: Initializing Tesseract Engine...
[01:08:38] [info] TESSERACT: Creating window Tesseract Sandbox (1280, 720)
[01:08:38] [info] TESSERACT: OpenGL Info:
[01:08:38] [info] TESSERACT:   Vendor: Intel
[01:08:38] [info] TESSERACT:   Renderer: Mesa Intel(R) UHD Graphics 630 (CFL GT2)
[01:08:38] [info] TESSERACT:   Version: 4.6 (Core Profile) Mesa 23.2.1-1ubuntu3.1~22.04.3
[01:08:38] [info] TESSERACT: TesseractApp created!
[01:08:38] [info] TESSERACT: SandboxLayer created!
[01:08:38] [info] TESSERACT: SandboxLayer attached!
[01:08:38] [info] TESSERACT: Starting main loop...
[01:08:47] [trace] TESSERACT: Left mouse button pressed!
[01:08:47] [trace] TESSERACT: Left mouse button pressed!
[01:08:47] [trace] TESSERACT: Left mouse button pressed!
[01:08:47] [trace] TESSERACT: Left mouse button pressed!
[01:08:47] [trace] TESSERACT: Left mouse button pressed!
[01:08:47] [trace] TESSERACT: Left mouse button pressed!
[01:08:47] [trace] TESSERACT: Left mouse button pressed!
[01:08:47] [trace] TESSERACT: Left mouse button pressed!
[01:08:47] [trace] TESSERACT: Left mouse button pressed!
[01:08:47] [trace] TESSERACT: Left mouse button pressed!
[01:08:47] [trace] TESSERACT: Left mouse button pressed!
[01:08:47] [trace] TESSERACT: Left mouse button pressed!
[01:08:47] [trace] TESSERACT: Left mouse button pressed!
[01:08:47] [trace] TESSERACT: Left mouse button pressed!
[01:08:47] [trace] TESSERACT: Left mouse button pressed!
[01:08:47] [trace] TESSERACT: Left mouse button pressed!
[01:08:47] [trace] TESSERACT: Left mouse button pressed!
[01:08:47] [trace] TESSERACT: Left mouse button pressed!
[01:08:47] [trace] TESSERACT: Left mouse button pressed!
[01:08:47] [trace] TESSERACT: Left mouse button pressed!
[01:08:47] [trace] TESSERACT: Left mouse button pressed!
[01:08:47] [trace] TESSERACT: Left mouse button pressed!
[01:08:47] [trace] TESSERACT: Left mouse button pressed!
[01:08:47] [trace] TESSERACT: Left mouse button pressed!
[01:08:47] [trace] TESSERACT: Left mouse button pressed!
[01:08:47] [trace] TESSERACT: Left mouse button pressed!
[01:08:47] [trace] TESSERACT: Left mouse button pressed!
[01:08:47] [trace] TESSERACT: Left mouse button pressed!
[01:08:47] [trace] TESSERACT: Left mouse button pressed!
[01:08:47] [trace] TESSERACT: Left mouse button pressed!
[01:08:47] [trace] TESSERACT: Left mouse button pressed!
[01:08:47] [trace] TESSERACT: Left mouse button pressed!
[01:08:47] [trace] TESSERACT: Left mouse button pressed!
[01:08:47] [trace] TESSERACT: Left mouse button pressed!
[01:08:47] [trace] TESSERACT: Left mouse button pressed!
[01:08:47] [trace] TESSERACT: Left mouse button pressed!
[01:08:47] [trace] TESSERACT: Left mouse button pressed!
[01:08:47] [trace] TESSERACT: Left mouse button pressed!
[01:08:47] [trace] TESSERACT: Left mouse button pressed!
[01:08:47] [trace] TESSERACT: Left mouse button pressed!
[01:08:48] [trace] TESSERACT: Left mouse button pressed!
[01:08:48] [trace] TESSERACT: Left mouse button pressed!
[01:08:48] [trace] TESSERACT: Left mouse button pressed!
[01:08:48] [trace] TESSERACT: Left mouse button pressed!
[01:08:48] [trace] TESSERACT: Left mouse button pressed!
[01:08:48] [trace] TESSERACT: Left mouse button pressed!
[01:08:48] [trace] TESSERACT: Left mouse button pressed!
[01:08:48] [trace] TESSERACT: Left mouse button pressed!
[01:08:48] [trace] TESSERACT: Left mouse button pressed!
[01:08:48] [trace] TESSERACT: Left mouse button pressed!
[01:08:49] [trace] TESSERACT: Left mouse button pressed!
[01:08:49] [trace] TESSERACT: Left mouse button pressed!
[01:08:49] [trace] TESSERACT: Left mouse button pressed!
[01:08:49] [trace] TESSERACT: Left mouse button pressed!
[01:08:49] [trace] TESSERACT: Left mouse button pressed!
[01:08:49] [trace] TESSERACT: Left mouse button pressed!
[01:08:49] [trace] TESSERACT: Left mouse button pressed!
[01:08:49] [trace] TESSERACT: Left mouse button pressed!
[01:08:49] [trace] TESSERACT: Left mouse button pressed!
[01:08:49] [trace] TESSERACT: Left mouse button pressed!
[01:08:49] [trace] TESSERACT: Left mouse button pressed!
[01:08:49] [trace] TESSERACT: Left mouse button pressed!
[01:08:49] [trace] TESSERACT: Left mouse button pressed!
[01:08:49] [trace] TESSERACT: Left mouse button pressed!
[01:08:49] [trace] TESSERACT: Left mouse button pressed!
[01:08:49] [trace] TESSERACT: Left mouse button pressed!
[01:08:49] [trace] TESSERACT: Left mouse button pressed!
[01:08:49] [trace] TESSERACT: Left mouse button pressed!
[01:08:50] [trace] TESSERACT: Left mouse button pressed!
[01:08:50] [trace] TESSERACT: Left mouse button pressed!
[01:08:50] [trace] TESSERACT: Left mouse button pressed!
[01:08:50] [trace] TESSERACT: Left mouse button pressed!
[01:08:50] [trace] TESSERACT: Left mouse button pressed!
[01:08:50] [trace] TESSERACT: Left mouse button pressed!
[01:08:50] [trace] TESSERACT: Left mouse button pressed!
[01:08:50] [trace] TESSERACT: Left mouse button pressed!
[01:08:50] [trace] TESSERACT: Left mouse button pressed!
[01:08:50] [trace] TESSERACT: Left mouse button pressed!
[01:08:50] [trace] TESSERACT: Left mouse button pressed!
[01:08:50] [trace] TESSERACT: Left mouse button pressed!
[01:08:50] [trace] TESSERACT: Left mouse button pressed!
[01:08:50] [trace] TESSERACT: Left mouse button pressed!
[01:08:50] [trace] TESSERACT: Left mouse button pressed!
[01:08:50] [trace] TESSERACT: Left mouse button pressed!
[01:08:50] [trace] TESSERACT: Left mouse button pressed!
[01:08:50] [trace] TESSERACT: Left mouse button pressed!
